category,sub_category,total_sales,total_profit,avg_discount,order_count,profit_margin
Technology,Copiers,1509439,258567.63,0.11714709851551958,2120,0.17130048315963745
Technology,Phones,1703417,215493.74,0.1459344262295082,3133,0.126506744972018
Furniture,Bookcases,1465719,161823.51,0.15382157676348546,2284,0.11040554840320689
Office Supplies,Appliances,1005471,140751.53,0.14181403308613805,1686,0.13998566840813906
Furniture,Chairs,1500384,140348.22,0.1629883381924198,3187,0.09354153336745794
Technology,Accessories,748764,129528.55,0.12046875,2889,0.17298982055761228
Office Supplies,Storage,1126186,108214.51,0.13852650316455695,4534,0.09608937600005682
Office Supplies,Binders,461491,72361.35,0.17940908350968582,5392,0.15679904916888954
Office Supplies,Paper,243938,59036.96,0.10953054298642534,3234,0.2420162500307455
Technology,Machines,778818,58758.92,0.1696969696969697,1422,0.0754462788482033
Office Supplies,Art,371353,57681.36,0.1174656551158499,4366,0.15532757241761883
Furniture,Furnishings,385036,46801.35,0.15111391606184915,2965,0.12155058228321507
Office Supplies,Envelopes,170827,29579.33,0.13185778873818332,2310,0.17315371691828577
Office Supplies,Supplies,243052,22570.86,0.12797029702970297,2281,0.09286432532955911
Office Supplies,Labels,73422,15004.9,0.12049520153550863,2460,0.20436517665005038
Office Supplies,Fasteners,83254,11525.33,0.14059504132231404,2304,0.13843575083479473
Furniture,Tables,757034,-64083.49,0.29073170731707315,836,-0.0846507422387898
