order_year,market,total_sales,total_profit,total_quantity,avg_discount,profit_margin
2011,APAC,635621,81813.4494,7238,0.1499948347107438,0.1287142013873047
2011,Africa,127186,10944.114,1926,0.2055908513341804,0.08604810277860771
2011,Canada,8507,1807.08,110,0.0,0.212422710708828
2011,EMEA,136422,5280.030000000001,1904,0.19418052256532067,0.038703654835730315
2011,EU,478766,61625.622,6247,0.10932971014492754,0.1287176240585171
2011,LATAM,385111,36708.416040000004,6422,0.1286686080372743,0.09531905357156768
2011,US,483974,49556.0329,7579,0.1582128514056225,0.10239399823130994
2012,APAC,762397,89321.4204,8723,0.14210193765796125,0.11715867245018016
2012,Africa,144487,11908.935,1961,0.17278911564625848,0.08242219023164714
2012,Canada,16099,4887.84,190,0.0,0.3036114044350581
2012,EMEA,163399,5418.165,2394,0.21246485473289595,0.033159107460877975
2012,EU,654878,83798.607,8515,0.09444691248334074,0.1279606384700662
2012,LATAM,460841,49836.138,8314,0.13357586837294333,0.10814171916127253
2012,US,470470,61577.1761,7973,0.15568300809138508,0.13088438391395837
2013,APAC,972228,122488.3899,10977,0.14265581717451523,0.12598730945827522
2013,Africa,228796,26570.022,2930,0.13722910216718265,0.11612974877183167
2013,Canada,19162,5129.46,257,0.0,0.2676891764951466
2013,EMEA,204654,10598.043,3063,0.1938073394495413,0.0517851740009968
2013,EU,761602,98247.555,9694,0.10439453125,0.12900117778052053
2013,LATAM,608148,61415.37348,11394,0.1392686274509804,0.10098754493971862
2013,US,607172,81314.0149,9779,0.15486024844720497,0.13392253743585014
2014,APAC,1208360,140352.1223,14256,0.15734317343173432,0.11615091719355158
2014,Africa,282659,39216.15,3735,0.14022208513263418,0.138740142716135
2014,Canada,23164,5993.01,276,0.0,0.25872085995510274
2014,EMEA,301670,22588.503,4154,0.18917127071823203,0.07487818808631949
2014,EU,1041825,128909.1675,13286,0.10483825198637911,0.12373399323302857
2014,LATAM,706612,73321.41956,12379,0.1370851127819549,0.10376475287710936
2014,US,733395,93339.0895,12494,0.1565330117576123,0.127269874351475
