ship_mode,order_priority,avg_shipping_cost,avg_delay_days,total_orders
First Class,Critical,60.7933064050779,2.1477207155222158,896
First Class,High,39.432415005861664,2.0955451348182885,1754
First Class,Medium,28.922181663837012,2.3323429541595924,1187
Same Day,Critical,63.301091644204845,0.025606469002695417,357
Same Day,High,39.660827423167845,0.04412923561859732,642
Same Day,Medium,27.092398255813954,0.0377906976744186,350
Second Class,Critical,56.561780068728524,2.306529209621993,720
Second Class,High,31.749448327508734,2.9036445332002,1998
Second Class,Medium,21.551973140495868,3.7787190082644626,2417
Standard Class,High,28.97252204585538,4.256760728982951,3414
Standard Class,Low,27.059735864630625,6.484936029715229,1212
Standard Class,Medium,16.310102211484853,5.0649507526482065,10648
