category,sub_category,total_sales,total_profit,avg_discount,order_count,profit_margin
Technology,Copiers,1509439,258567.54818,0.11714709851551958,2120,0.17130042895406838
Technology,Phones,1703417,215493.4258,0.1459344262295082,3133,0.12650656051923867
Furniture,Bookcases,1465719,161823.6195,0.15382157676348546,2284,0.11040562311056894
Office Supplies,Appliances,1005471,140751.5494,0.14181403308613805,1686,0.1399856877025792
Furniture,Chairs,1500384,140348.3463,0.1629883381924198,3187,0.09354161754590826
Technology,Accessories,748764,129528.3733,0.12046875,2889,0.17298958456870256
Office Supplies,Storage,1126186,108214.3396,0.13852650316455695,4534,0.09608922469290153
Office Supplies,Binders,461491,72361.6274,0.17940908350968582,5392,0.15679965026403547
Office Supplies,Paper,243938,59037.5067,0.10953054298642534,3234,0.24201849117398683
Technology,Machines,778818,58758.973,0.1696969696969697,1422,0.07544634690004597
Office Supplies,Art,371353,57681.2049,0.1174656551158499,4366,0.1553271547557176
Furniture,Furnishings,385036,46801.3251,0.15111391606184915,2965,0.1215505176139374
Office Supplies,Envelopes,170827,29579.546299999998,0.13185778873818332,2310,0.17315498311156902
Office Supplies,Supplies,243052,22570.9631,0.12797029702970297,2281,0.09286474951862153
Office Supplies,Labels,73422,15004.962,0.12049520153550863,2460,0.20436602108359891
Office Supplies,Fasteners,83254,11525.4241,0.14059504132231404,2304,0.1384368811108175
Furniture,Tables,757034,-64083.388699999996,0.29073170731707315,836,-0.08465060842709839
