ship_mode,order_priority,avg_shipping_cost,avg_delay_days,total_orders
First Class,Critical,60.79327870744373,2.1477207155222158,896
First Class,High,39.43242262602579,2.0955451348182885,1754
First Class,Medium,28.92224258913412,2.3323429541595924,1187
Same Day,Critical,63.301078167115904,0.025606469002695417,357
Same Day,High,39.66082269503546,0.04412923561859732,642
Same Day,Medium,27.092357558139536,0.0377906976744186,350
Second Class,Critical,56.561851106529204,2.306529209621993,720
Second Class,High,31.74948327508737,2.9036445332002,1998
Second Class,Medium,21.551970454545454,3.7787190082644626,2417
Standard Class,High,28.9725443856555,4.256760728982951,3414
Standard Class,Low,27.059742055303346,6.484936029715229,1212
Standard Class,Medium,16.310101444898716,5.0649507526482065,10648
